timestamp,multiplier
2025-12-10 20:46:05,1.60
2025-12-10 20:46:19,1.27
2025-12-10 20:46:46,4.17
2025-12-10 20:47:07,2.12
2025-12-10 20:47:31,3.02
2025-12-10 20:47:43,1.03
2025-12-10 20:47:57,1.30
2025-12-10 20:48:31,7.68
2025-12-10 20:49:02,4.64
2025-12-10 20:49:49,20.32
2025-12-10 20:50:01,1.00
2025-12-10 20:50:16,1.37
2025-12-10 20:50:37,2.53
2025-12-10 20:50:54,1.26
2025-12-10 20:51:05,1.00
2025-12-10 20:51:38,2.35
2025-12-10 20:51:56,1.54
2025-12-10 20:52:17,2.09
2025-12-10 20:52:55,11.46
2025-12-10 20:53:09,1.21
2025-12-10 20:53:38,4.65
2025-12-10 20:53:54,1.26
2025-12-10 20:54:24,4.94
2025-12-10 20:55:23,54.17
2025-12-10 20:55:36,1.03
2025-12-10 20:55:52,1.20
2025-12-10 20:56:05,1.28
2025-12-10 20:56:21,1.31
2025-12-10 20:56:59,10.59
2025-12-10 20:57:28,3.72
2025-12-10 20:58:02,6.88
2025-12-10 20:58:38,7.80
2025-12-10 20:58:56,1.39
2025-12-10 20:59:12,1.58
2025-12-10 20:59:37,2.18
2025-12-10 21:00:01,2.98
2025-12-10 21:00:23,2.20
2025-12-10 21:00:40,1.60
2025-12-10 21:01:05,2.86
2025-12-10 21:01:44,10.07
2025-12-10 21:02:02,1.38
2025-12-10 21:02:41,11.91
2025-12-10 21:03:29,20.93
2025-12-10 21:03:46,1.35
2025-12-10 21:04:07,2.10
2025-12-10 21:05:05,57.59
2025-12-10 21:05:47,11.69
2025-12-10 21:06:07,1.66
2025-12-10 21:06:25,1.37
2025-12-10 21:07:01,9.00
2025-12-10 21:07:17,1.19
2025-12-10 21:07:52,7.81
2025-12-10 21:08:06,1.00
2025-12-10 21:08:31,2.03
2025-12-10 21:08:57,3.41
2025-12-10 21:09:28,5.24
2025-12-10 21:09:53,2.10
2025-12-10 21:10:07,1.00
2025-12-10 21:10:23,1.04
2025-12-10 21:10:48,3.06
2025-12-10 21:11:38,26.81
2025-12-10 21:12:10,4.70
2025-12-10 21:12:38,3.17
2025-12-10 21:13:09,4.40
2025-12-10 21:13:32,1.84
2025-12-10 21:13:57,3.35
2025-12-10 21:14:14,1.09
2025-12-10 21:14:36,1.95
2025-12-10 21:14:53,1.09
2025-12-10 21:15:12,1.67
2025-12-10 21:15:42,4.69
2025-12-10 21:16:11,3.04
2025-12-10 21:16:50,10.78
2025-12-10 21:17:18,3.62
2025-12-10 21:17:39,1.83
2025-12-10 21:17:55,1.32
2025-12-10 21:18:16,1.41
2025-12-10 21:18:30,1.17
2025-12-10 21:18:51,2.41
2025-12-10 21:19:16,2.96
2025-12-10 21:19:39,2.06
2025-12-10 21:20:05,2.84
2025-12-10 21:20:50,17.96
2025-12-10 21:22:18,557.80
2025-12-10 21:22:41,1.75
2025-12-10 21:23:39,49.45
2025-12-10 21:24:04,2.12
2025-12-10 21:24:18,1.00
2025-12-10 21:24:40,2.27
2025-12-10 21:24:58,1.55
2025-12-10 21:25:14,1.05
2025-12-10 21:25:31,1.39
2025-12-10 21:25:52,2.24
2025-12-10 21:26:13,1.72
2025-12-10 21:26:37,2.92
2025-12-10 21:26:53,1.40
2025-12-10 21:27:29,7.97
2025-12-10 21:27:45,1.24
2025-12-10 21:28:19,5.78
2025-12-10 21:28:34,1.06
2025-12-10 21:29:12,9.89
2025-12-10 21:29:51,7.94
2025-12-10 21:30:10,1.44
2025-12-10 21:30:28,1.49
2025-12-10 21:30:50,1.96
2025-12-10 21:31:12,2.09
2025-12-10 21:31:25,1.07
2025-12-10 21:31:56,5.52
2025-12-10 21:32:19,2.18
2025-12-10 21:32:55,7.58
2025-12-10 21:33:13,1.34
2025-12-10 21:33:49,6.77
2025-12-10 21:34:10,1.68
2025-12-10 21:34:33,2.45
2025-12-10 21:34:55,2.29
2025-12-10 21:35:09,1.00
2025-12-10 21:35:27,1.26
2025-12-10 21:35:47,1.74
2025-12-10 21:36:00,1.01
2025-12-10 21:36:21,2.08
2025-12-10 21:36:53,5.41
2025-12-10 21:37:15,1.83
2025-12-10 21:37:28,1.00
2025-12-10 21:38:06,9.39
2025-12-10 21:38:26,1.60
2025-12-10 21:38:42,1.17
2025-12-10 21:38:55,1.16
2025-12-10 21:39:12,1.59
2025-12-10 21:39:30,1.72
2025-12-10 21:39:51,2.31
2025-12-10 21:40:13,2.30
2025-12-10 21:40:38,2.96
2025-12-10 21:40:51,1.06
2025-12-10 21:41:10,1.92
2025-12-10 21:41:27,1.44
2025-12-10 21:41:45,1.83
2025-12-10 21:42:17,5.80
2025-12-10 21:42:43,2.94
2025-12-10 21:43:04,1.85
2025-12-10 21:43:37,6.92
2025-12-10 21:44:14,7.41
2025-12-10 21:44:32,1.48
2025-12-10 21:44:55,2.17
2025-12-10 21:45:09,1.26
2025-12-10 21:45:31,2.50
2025-12-10 21:46:29,50.05
2025-12-10 21:46:44,1.20
2025-12-10 21:46:57,1.10
2025-12-10 21:47:09,1.07
2025-12-10 21:48:00,26.89
2025-12-10 21:48:16,1.14
2025-12-10 21:48:41,3.09
2025-12-10 21:48:59,1.66
2025-12-10 21:49:27,3.80
2025-12-10 21:49:45,1.44
2025-12-10 21:50:07,2.48
2025-12-10 21:50:23,1.40
2025-12-10 21:51:05,12.16
2025-12-10 21:51:26,1.45
2025-12-10 21:52:33,115.30
2025-12-10 21:52:56,2.00
2025-12-10 21:53:17,2.12
2025-12-10 21:53:33,1.21
2025-12-10 21:53:58,3.37
2025-12-10 21:54:22,2.60
2025-12-10 21:54:42,1.36
2025-12-10 21:55:59,270.82
2025-12-10 21:56:21,1.59
2025-12-10 21:56:40,1.47
2025-12-10 21:57:09,4.21
2025-12-10 21:57:27,1.36
2025-12-10 21:57:50,2.39
2025-12-10 21:58:04,1.00
2025-12-10 21:58:39,8.57
2025-12-10 21:59:03,2.30
2025-12-10 21:59:23,2.22
2025-12-10 21:59:37,1.03
2025-12-10 21:59:53,1.39
2025-12-10 22:00:10,1.30
2025-12-10 22:00:44,7.70
2025-12-10 22:01:02,1.27
2025-12-10 22:01:22,1.87
2025-12-10 22:01:39,1.44
2025-12-10 22:02:06,3.72
2025-12-10 22:02:38,4.71
2025-12-10 22:03:07,2.94
2025-12-10 22:03:32,2.73
2025-12-10 22:03:44,1.00
2025-12-10 22:04:02,1.48
2025-12-10 22:04:28,3.57
2025-12-10 22:05:01,6.36
2025-12-10 22:05:20,1.56
2025-12-10 22:05:41,2.30
2025-12-10 22:06:09,3.14
2025-12-10 22:06:24,1.09
2025-12-10 22:06:44,1.70
2025-12-10 22:07:05,2.07
2025-12-10 22:07:26,2.47
2025-12-10 22:08:03,8.91
2025-12-10 22:08:30,3.08
2025-12-10 22:08:49,1.96
2025-12-10 22:09:07,1.50
2025-12-10 22:09:36,4.14
2025-12-10 22:09:50,1.03
2025-12-10 22:10:09,1.82
2025-12-10 22:10:42,1.18
2025-12-10 22:11:06,2.93
2025-12-10 22:11:56,29.50
2025-12-10 22:12:17,1.53
2025-12-10 22:12:39,2.32
2025-12-10 22:12:51,1.01
2025-12-10 22:13:08,1.49
2025-12-10 22:13:43,6.95
2025-12-10 22:13:59,1.31
2025-12-10 22:14:22,2.85
2025-12-10 22:14:59,9.53
2025-12-10 22:15:24,2.60
2025-12-10 22:15:37,1.02
2025-12-10 22:16:03,3.96
2025-12-10 22:16:24,1.73
2025-12-10 22:16:42,1.60
2025-12-10 22:16:55,1.14
2025-12-10 22:17:10,1.25
2025-12-10 22:17:25,1.18
2025-12-10 22:17:35,1.00
2025-12-10 22:18:00,2.85
2025-12-10 22:18:13,1.06
2025-12-10 22:18:36,3.19
2025-12-10 22:18:58,2.31
2025-12-10 22:19:38,12.22
2025-12-10 22:19:53,1.02
2025-12-10 22:20:04,1.00
2025-12-10 22:20:26,2.21
2025-12-10 22:20:45,1.87
2025-12-10 22:21:01,1.43
2025-12-10 22:21:13,1.03
2025-12-10 22:21:30,1.88
2025-12-10 22:22:05,7.53
2025-12-10 22:22:22,1.21
2025-12-10 22:22:33,1.05
2025-12-10 22:23:00,3.72
2025-12-10 22:23:28,3.75
2025-12-10 22:24:19,29.16
2025-12-10 22:24:39,1.65
2025-12-10 22:25:06,3.62
2025-12-10 22:25:39,7.09
2025-12-10 22:25:54,1.06
2025-12-10 22:26:10,1.41
2025-12-10 22:26:26,1.21
2025-12-10 22:26:45,2.20
2025-12-10 22:26:59,1.10
2025-12-10 22:28:02,83.06
2025-12-10 22:28:24,2.08
2025-12-10 22:28:49,2.97
2025-12-10 22:29:14,3.25
2025-12-10 22:30:00,17.31
2025-12-10 22:30:19,1.33
2025-12-10 22:30:41,2.56
2025-12-10 22:31:43,74.64
2025-12-10 22:32:04,1.39
2025-12-10 22:32:52,27.58
2025-12-10 22:33:50,40.30
2025-12-10 22:34:07,1.41
2025-12-10 22:34:29,2.26
2025-12-10 22:34:46,1.36
2025-12-10 22:35:07,2.45
2025-12-10 22:35:21,1.04
2025-12-10 22:35:40,2.00
2025-12-10 22:36:02,2.09
2025-12-10 22:36:15,1.15
2025-12-10 22:36:31,1.24
2025-12-10 22:36:54,2.52
2025-12-10 22:37:13,1.37
2025-12-10 22:37:32,1.21
2025-12-10 22:37:58,2.59
2025-12-10 22:38:25,3.48
2025-12-10 22:38:40,1.29
2025-12-10 22:39:12,4.15
2025-12-10 22:39:30,1.34
2025-12-10 22:39:42,1.01
2025-12-10 22:40:07,2.78
2025-12-10 22:40:32,3.05
2025-12-10 22:40:52,1.82
2025-12-10 22:41:08,1.39
2025-12-10 22:41:33,3.47
2025-12-10 22:41:49,1.13
2025-12-10 22:42:10,2.58
2025-12-10 22:42:22,1.01
2025-12-10 22:42:43,1.81
2025-12-10 22:42:58,1.29
2025-12-10 22:43:25,4.43
2025-12-10 22:43:50,2.93
2025-12-10 22:44:06,1.36
2025-12-10 22:44:26,2.03
2025-12-10 22:44:46,2.36
2025-12-10 22:45:03,1.52
2025-12-10 22:45:29,3.77
2025-12-10 22:45:48,1.46
2025-12-10 22:46:05,1.25
2025-12-10 22:46:27,2.57
2025-12-10 22:46:43,1.17
2025-12-10 22:47:10,4.77
2025-12-10 22:47:26,1.17
2025-12-10 22:47:56,6.01
2025-12-10 22:48:20,2.92
2025-12-10 22:48:38,1.65
2025-12-10 22:48:59,1.48
2025-12-10 22:49:18,1.96
2025-12-10 22:49:58,13.50
2025-12-10 22:50:25,3.45
2025-12-10 22:50:49,2.77
2025-12-10 22:51:20,4.73
2025-12-10 22:51:43,2.40
2025-12-10 22:52:23,10.30
2025-12-10 22:52:40,1.25
2025-12-10 22:52:50,1.00
2025-12-10 22:53:07,1.59
2025-12-10 22:53:19,1.00
2025-12-10 22:54:23,85.48
