timestamp,probability_gt_threshold,confidence,betting_action,risk_level,target,bet_amount,status,result,actual,profit_loss,bankroll_before,bankroll_after,reason,model_type
2025-12-15T20:28:21.163075,0.5556,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,3.74,100.0,53400.0,53500.0,Moderate probability: 55.56% with confidence 54.68%,bayesian_sequence
2025-12-15T20:29:16.177025,0.5523,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,13.74,100.0,53500.0,53600.0,Moderate probability: 55.23% with confidence 54.68%,bayesian_sequence
2025-12-15T20:30:14.623175,0.57,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,39.99,100.0,53600.0,53700.0,Moderate probability: 57.00% with confidence 54.68%,bayesian_sequence
2025-12-15T20:31:01.959408,0.6094,54.67999999999999,BET,LOW,2.0,100.0,completed,win,22.84,100.0,53700.0,53800.0,High probability: 60.94% with confidence 54.68%,bayesian_sequence
2025-12-15T20:31:23.082073,0.561,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,loss,1.67,-100.0,53800.0,53700.0,Moderate probability: 56.10% with confidence 54.68%,bayesian_sequence
2025-12-15T20:59:44.757353,0.5675,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,2.74,100.0,53700.0,53800.0,Moderate probability: 56.75% with confidence 54.68%,bayesian_sequence
2025-12-15T21:01:13.284617,0.5609,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,2.28,100.0,53800.0,53900.0,Moderate probability: 56.09% with confidence 54.68%,bayesian_sequence
2025-12-15T21:01:53.221711,0.5786,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,3.73,100.0,53900.0,54000.0,Moderate probability: 57.86% with confidence 54.68%,bayesian_sequence
2025-12-15T21:06:07.797003,0.5675,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,4.08,100.0,54000.0,54100.0,Moderate probability: 56.75% with confidence 54.68%,bayesian_sequence
2025-12-15T21:06:37.345306,0.5844,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,3.79,100.0,54100.0,54200.0,Moderate probability: 58.44% with confidence 54.68%,bayesian_sequence
2025-12-15T21:07:33.696906,0.5556,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,6.3,100.0,54200.0,54300.0,Moderate probability: 55.56% with confidence 54.68%,bayesian_sequence
2025-12-15T21:07:54.190646,0.5731,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,2.12,100.0,54300.0,54400.0,Moderate probability: 57.31% with confidence 54.68%,bayesian_sequence
2025-12-15T21:10:06.150653,0.5634,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,win,2.47,100.0,54400.0,54500.0,Moderate probability: 56.34% with confidence 54.68%,bayesian_sequence
2025-12-15T21:10:35.330731,0.6031,54.67999999999999,BET,LOW,2.0,100.0,completed,win,4.88,100.0,54500.0,54600.0,High probability: 60.31% with confidence 54.68%,bayesian_sequence
2025-12-15T21:10:52.431694,0.5551,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,loss,1.17,-100.0,54600.0,54500.0,Moderate probability: 55.51% with confidence 54.68%,bayesian_sequence
