timestamp,predicted_value,min_range,max_range,target,bet_amount,status,result,actual,profit_loss,bankroll_before,bankroll_after,input_sequence
2025-12-14T02:53:16.192946,6.36,2.4,10.32,2.4,100.0,completed,loss,1.98,-100.0,50071.0,49971.0,"[1.97, 4.09, 90.14, 19.65, 27.81, 6.34, 1.17, 1.35, 1.43, 2.09, 1.94, 1.18, 3.66, 1.0, 4.49, 2.72, 18.0, 2.03, 6.26, 1.16, 2.03, 2.24, 13.28, 1.0, 9.41, 10.45, 1.74, 1.33, 1.14, 6.88]"
2025-12-14T02:53:34.636006,6.38,2.42,10.34,2.42,100.0,completed,win,6.45,142.0,49971.0,50113.0,"[4.09, 90.14, 19.65, 27.81, 6.34, 1.17, 1.35, 1.43, 2.09, 1.94, 1.18, 3.66, 1.0, 4.49, 2.72, 18.0, 2.03, 6.26, 1.16, 2.03, 2.24, 13.28, 1.0, 9.41, 10.45, 1.74, 1.33, 1.14, 6.88, 1.98]"
2025-12-14T02:54:07.265141,6.33,2.38,10.29,2.38,100.0,completed,loss,1.13,-100.0,50113.0,50013.0,"[90.14, 19.65, 27.81, 6.34, 1.17, 1.35, 1.43, 2.09, 1.94, 1.18, 3.66, 1.0, 4.49, 2.72, 18.0, 2.03, 6.26, 1.16, 2.03, 2.24, 13.28, 1.0, 9.41, 10.45, 1.74, 1.33, 1.14, 6.88, 1.98, 6.45]"
2025-12-14T02:54:18.841583,6.33,2.37,10.29,2.37,100.0,completed,loss,1.8,-100.0,50013.0,49913.0,"[19.65, 27.81, 6.34, 1.17, 1.35, 1.43, 2.09, 1.94, 1.18, 3.66, 1.0, 4.49, 2.72, 18.0, 2.03, 6.26, 1.16, 2.03, 2.24, 13.28, 1.0, 9.41, 10.45, 1.74, 1.33, 1.14, 6.88, 1.98, 6.45, 1.13]"
2025-12-14T02:54:36.584718,6.25,2.29,10.2,2.29,100.0,completed,loss,1.11,-100.0,49913.0,49813.0,"[27.81, 6.34, 1.17, 1.35, 1.43, 2.09, 1.94, 1.18, 3.66, 1.0, 4.49, 2.72, 18.0, 2.03, 6.26, 1.16, 2.03, 2.24, 13.28, 1.0, 9.41, 10.45, 1.74, 1.33, 1.14, 6.88, 1.98, 6.45, 1.13, 1.8]"
2025-12-14T02:54:50.019914,6.22,2.26,10.18,2.26,100.0,completed,win,2.32,125.99999999999997,49813.0,49939.0,"[6.34, 1.17, 1.35, 1.43, 2.09, 1.94, 1.18, 3.66, 1.0, 4.49, 2.72, 18.0, 2.03, 6.26, 1.16, 2.03, 2.24, 13.28, 1.0, 9.41, 10.45, 1.74, 1.33, 1.14, 6.88, 1.98, 6.45, 1.13, 1.8, 1.11]"
2025-12-14T02:55:08.622963,6.26,2.3,10.22,2.3,100.0,completed,win,4.91,129.99999999999997,49939.0,50069.0,"[1.17, 1.35, 1.43, 2.09, 1.94, 1.18, 3.66, 1.0, 4.49, 2.72, 18.0, 2.03, 6.26, 1.16, 2.03, 2.24, 13.28, 1.0, 9.41, 10.45, 1.74, 1.33, 1.14, 6.88, 1.98, 6.45, 1.13, 1.8, 1.11, 2.32]"
2025-12-14T02:55:38.067752,6.24,2.28,10.2,2.28,100.0,completed,win,4.13,127.99999999999999,50069.0,50197.0,"[1.35, 1.43, 2.09, 1.94, 1.18, 3.66, 1.0, 4.49, 2.72, 18.0, 2.03, 6.26, 1.16, 2.03, 2.24, 13.28, 1.0, 9.41, 10.45, 1.74, 1.33, 1.14, 6.88, 1.98, 6.45, 1.13, 1.8, 1.11, 2.32, 4.91]"
2025-12-14T02:56:05.481850,6.22,2.26,10.17,2.26,100.0,completed,loss,1.44,-100.0,50197.0,50097.0,"[1.43, 2.09, 1.94, 1.18, 3.66, 1.0, 4.49, 2.72, 18.0, 2.03, 6.26, 1.16, 2.03, 2.24, 13.28, 1.0, 9.41, 10.45, 1.74, 1.33, 1.14, 6.88, 1.98, 6.45, 1.13, 1.8, 1.11, 2.32, 4.91, 4.13]"
2025-12-14T02:56:19.093619,6.13,2.17,10.09,2.17,100.0,completed,loss,1.78,-100.0,50097.0,49997.0,"[2.09, 1.94, 1.18, 3.66, 1.0, 4.49, 2.72, 18.0, 2.03, 6.26, 1.16, 2.03, 2.24, 13.28, 1.0, 9.41, 10.45, 1.74, 1.33, 1.14, 6.88, 1.98, 6.45, 1.13, 1.8, 1.11, 2.32, 4.91, 4.13, 1.44]"
